analysis_year,sheet_name,province_name_en,province_name_cn,province_name_std,row_count,non_null_count,missing_count,annual_total_load_gwh,mean_hourly_load_gwh,peak_hourly_load_gwh,min_hourly_load_gwh,annual_share_of_national_total
2015,2015 load curve,Anhui,安徽,Anhui,8760,8760,0,163999.99999999988,18.721461187214597,29.687465733925436,13.78879833570969,0.028804777377711418
2015,2015 load curve,Beijing,北京,Beijing,8760,8760,0,95299.99999999977,10.878995433789928,21.166160171886425,5.577952468175004,0.016738385878633497
2015,2015 load curve,Chongqing,重庆,Chongqing,8760,8760,0,87500.00000000001,9.988584474885846,19.226242893792243,6.475678107981952,0.015368402564327753
2015,2015 load curve,Fujian,福建,Fujian,8760,8760,0,185199.9999999985,21.14155251141535,30.85658860858942,16.971600370413594,0.032528321770439725
2015,2015 load curve,Gansu,甘肃,Gansu,8760,8760,0,109899.99999999958,12.545662100456573,15.83330429261036,10.823295483259631,0.01930271362079558
2015,2015 load curve,Guangdong,广东,Guangdong,8760,8760,0,531099.9999999988,60.627853881278405,92.58803696148513,43.049209873300576,0.093281812593308
2015,2015 load curve,Guangxi,广西,Guangxi,8760,8760,0,133399.9999999996,15.228310502283058,20.335039435747518,11.189995957117096,0.023430227452357892
2015,2015 load curve,Guizhou,贵州,Guizhou,8760,8760,0,117400.00000000006,13.401826484018272,19.747891220580314,8.50720543723367,0.020620005269166613
2015,2015 load curve,Hainan,海南,Hainan,8760,8760,0,27200.000000000276,3.1050228310502597,4.113732093202936,2.320655769148999,0.004777377711425361
2015,2015 load curve,Hebei,河北,Hebei,8760,8760,0,317600.0000000007,36.25570776255716,53.18793580956783,28.01112720249398,0.05578291033634862
2015,2015 load curve,Heilongjiang,黑龙江,Heilongjiang,8760,8760,0,86899.99999999993,9.920091324200905,12.933084207985662,7.218058768439844,0.01526301923245806
2015,2015 load curve,Henan,河南,Henan,8760,8760,0,287999.99999999907,32.87671232876702,53.235795773025416,26.166598190483686,0.05058399929744432
2015,2015 load curve,Hubei,湖北,Hubei,8760,8760,0,166500.00000000023,19.00684931506852,31.572815145321883,14.654953493420246,0.02924387459383513
2015,2015 load curve,Hunan,湖南,Hunan,8760,8760,0,144800.00000000157,16.529680365296983,27.13020554162074,10.885616054483544,0.025432510757882082
2015,2015 load curve,Inner Mongolia,内蒙古,Inner Mongolia,8760,8760,0,254300.00000000105,29.029680365296922,31.542891138227123,26.959728500764424,0.04466496882409786
2015,2015 load curve,Jiangsu,江苏,Jiangsu,8760,8760,0,511499.99999999674,58.390410958903736,88.95310835576939,45.68671385240418,0.08983929041889821
2015,2015 load curve,Jiangxi,江西,Jiangxi,8760,8760,0,108699.99999999991,12.408675799086748,18.832872097306097,8.782886875671919,0.019091946957056287
2015,2015 load curve,Jilin,吉林,Jilin,8760,8760,0,65200.00000000002,7.4429223744292266,9.900322959917917,5.116457501149047,0.011451655396504796
2015,2015 load curve,Liaoning,辽宁,Liaoning,8760,8760,0,198499.9999999989,22.659817351598047,26.38749201572856,19.572042657926023,0.03486431896021761
2015,2015 load curve,Ningxia,宁夏,Ningxia,8760,8760,0,87800.00000000073,10.022831050228394,10.958456684568498,9.36162097848377,0.015421094230262715
2015,2015 load curve,Qinghai,青海,Qinghai,8760,8760,0,65799.99999999939,7.511415525114085,10.882451141758917,6.968076532687614,0.011557038728374361
2015,2015 load curve,Shaanxi,陕西,Shaanxi,8760,8760,0,122199.99999999972,13.949771689497686,24.032697779502406,9.816982814426565,0.02146307192412396
2015,2015 load curve,Shandong,山东,Shandong,8760,8760,0,511700.00000000163,58.41324200913261,80.2272691931583,49.235187317625766,0.08987441819618897
2015,2015 load curve,Shanghai,上海,Shanghai,8760,8760,0,140599.99999999977,16.050228310502256,29.944112441180852,10.391312290556426,0.024694827434794033
2015,2015 load curve,Shanxi,山西,Shanxi,8760,8760,0,173699.9999999994,19.8287671232876,24.36201721685722,16.584626878976355,0.030508474576271094
2015,2015 load curve,Sichuan,四川,Sichuan,8760,8760,0,199199.9999999987,22.73972602739711,35.80834083779408,16.18973933000536,0.0349872661807322
2015,2015 load curve,Tianjin,天津,Tianjin,8760,8760,0,80100.00000000026,9.143835616438386,15.027737960207972,6.524132563398872,0.014068674804601791
2015,2015 load curve,Tibet,西藏,Tibet,8760,8760,0,4100.000000000009,0.46803652968036635,0.6876534627479008,0.2840082260242223,0.0007201194344427876
2015,2015 load curve,Xinjiang,新疆,Xinjiang,8760,8760,0,215999.99999999983,24.657534246575324,29.85162152220144,22.57531644026881,0.03793799947308333
2015,2015 load curve,Yunnan,云南,Yunnan,8760,8760,0,143899.9999999997,16.42694063926937,20.05692729031162,13.013341597923088,0.025274435760077242
2015,2015 load curve,Zhejiang,浙江,Zhejiang,8760,8760,0,355400.0000000035,40.57077625570816,66.10944796886538,30.068003611428686,0.0624220602441387
2016,2016 load curve,Anhui,安徽,Anhui,8784,8784,0,179500.00000000058,20.434881602914455,33.88702037137861,14.708788375557058,0.030042343804917333
2016,2016 load curve,Beijing,北京,Beijing,8784,8784,0,101999.99999999965,11.612021857923457,20.243894981154348,5.906108327400693,0.01707141542117854
2016,2016 load curve,Chongqing,重庆,Chongqing,8784,8784,0,92500.00000000044,10.530510018214986,21.739021945182248,6.6150246179738295,0.015481430651559096
2016,2016 load curve,Fujian,福建,Fujian,8784,8784,0,196899.9999999979,22.415755919854043,32.13991132100237,17.820021020590442,0.03295452643558853
2016,2016 load curve,Gansu,甘肃,Gansu,8784,8784,0,106500.00000000029,12.124316939890743,15.327520011743157,10.38693431404323,0.01782456610152476
2016,2016 load curve,Guangdong,广东,Guangdong,8784,8784,0,561000.0000000047,63.866120218579766,98.87925504761347,46.30187497162531,0.09389278481648307
2016,2016 load curve,Guangxi,广西,Guangxi,8784,8784,0,136000.0000000004,15.48269581056471,20.767968509148915,11.210887660712057,0.022761887228238197
2016,2016 load curve,Guizhou,贵州,Guizhou,8784,8784,0,124200.00000000033,14.13934426229512,22.092253276651892,8.82987576078027,0.02078695877755282
2016,2016 load curve,Hainan,海南,Hainan,8784,8784,0,28699.999999999858,3.267304189435321,4.3416011477155845,2.4228952570226823,0.0048034276724296405
2016,2016 load curve,Hebei,河北,Hebei,8784,8784,0,326499.99999999907,37.16985428050991,51.66156022311121,28.503386413177864,0.05464526602955683
2016,2016 load curve,Heilongjiang,黑龙江,Heilongjiang,8784,8784,0,89700.00000000009,10.211748633879791,13.445781428818385,7.388020773495412,0.015012803561565898
2016,2016 load curve,Henan,河南,Henan,8784,8784,0,298899.9999999993,34.0277777777777,56.06001257121831,26.259852993931712,0.05002594185676736
2016,2016 load curve,Hubei,湖北,Hubei,8784,8784,0,176299.99999999956,20.07058287795988,33.92340509880751,14.985825271664822,0.02950676998778215
