iso3,country_name,evidence_class,component_name,raw_variable_name,raw_value,raw_unit,standardized_score,transform,direction,weight,source_id,source_url,source_year,missing_flag,imputation_rule
SVK,Slovak Republic,service endpoint,service_endpoint_signal,service_endpoint_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
SVN,Slovenia,AI compute,ai_compute_signal,ai_compute_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SVN,Slovenia,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,2.75,count,0.1718810965772056,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SVN,Slovenia,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
SVN,Slovenia,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SVN,Slovenia,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SVN,Slovenia,service endpoint,service_endpoint_signal,service_endpoint_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
SWE,Sweden,AI compute,ai_compute_signal,ai_compute_raw,10.433972380646676,score,0.4620878363882332,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SWE,Sweden,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,33.25,count,0.4595205130399233,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SWE,Sweden,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
SWE,Sweden,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SWE,Sweden,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SWE,Sweden,service endpoint,service_endpoint_signal,service_endpoint_raw,36.20530808540096,score,0.7836093181901933,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
SWZ,Eswatini,AI compute,ai_compute_signal,ai_compute_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SWZ,Eswatini,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SWZ,Eswatini,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
SWZ,Eswatini,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SWZ,Eswatini,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
SWZ,Eswatini,service endpoint,service_endpoint_signal,service_endpoint_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TCD,Chad,AI compute,ai_compute_signal,ai_compute_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TCD,Chad,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TCD,Chad,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TCD,Chad,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TCD,Chad,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TCD,Chad,service endpoint,service_endpoint_signal,service_endpoint_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TGO,Togo,AI compute,ai_compute_signal,ai_compute_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TGO,Togo,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TGO,Togo,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TGO,Togo,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TGO,Togo,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TGO,Togo,service endpoint,service_endpoint_signal,service_endpoint_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
THA,Thailand,AI compute,ai_compute_signal,ai_compute_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
THA,Thailand,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,7.25,count,0.2744120721207618,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
THA,Thailand,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
THA,Thailand,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
THA,Thailand,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
THA,Thailand,service endpoint,service_endpoint_signal,service_endpoint_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TJK,Tajikistan,AI compute,ai_compute_signal,ai_compute_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TJK,Tajikistan,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TJK,Tajikistan,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TJK,Tajikistan,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TJK,Tajikistan,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TJK,Tajikistan,service endpoint,service_endpoint_signal,service_endpoint_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TLS,Timor-Leste,AI compute,ai_compute_signal,ai_compute_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TLS,Timor-Leste,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TLS,Timor-Leste,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TLS,Timor-Leste,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TLS,Timor-Leste,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TLS,Timor-Leste,service endpoint,service_endpoint_signal,service_endpoint_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TTO,Trinidad and Tobago,AI compute,ai_compute_signal,ai_compute_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TTO,Trinidad and Tobago,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,1.75,count,0.1315485574099101,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TTO,Trinidad and Tobago,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TTO,Trinidad and Tobago,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TTO,Trinidad and Tobago,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TTO,Trinidad and Tobago,service endpoint,service_endpoint_signal,service_endpoint_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TUN,Tunisia,AI compute,ai_compute_signal,ai_compute_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TUN,Tunisia,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,1.5,count,0.1191544239972239,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TUN,Tunisia,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TUN,Tunisia,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TUN,Tunisia,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TUN,Tunisia,service endpoint,service_endpoint_signal,service_endpoint_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TUR,Turkiye,AI compute,ai_compute_signal,ai_compute_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TUR,Turkiye,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,20.75,count,0.4004728964816924,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TUR,Turkiye,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TUR,Turkiye,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TUR,Turkiye,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TUR,Turkiye,service endpoint,service_endpoint_signal,service_endpoint_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TWN,Taiwan,AI compute,ai_compute_signal,ai_compute_raw,3.265719621186405,score,0.2751016528115421,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TWN,Taiwan,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,7.75,count,0.282063689281181,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TWN,Taiwan,power-grid evidence,power_grid_evidence_signal,power_grid_evidence_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,ai_power_grid_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TWN,Taiwan,public load/capacity,public_load_capacity_signal,public_load_capacity_raw_twh,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.3,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TWN,Taiwan,public project capacity,public_project_capacity_signal,public_project_capacity_raw_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TWN,Taiwan,service endpoint,service_endpoint_signal,service_endpoint_raw,36.3585628977919,score,0.7845000218468037,fillna->0; log1p min-max normalized,higher=stronger,0.05,ai_service_endpoint_country_score,project-local-derived-table,2024,0,fillna_to_zero_before_log1p_minmax
TZA,Tanzania,AI compute,ai_compute_signal,ai_compute_raw,0.0,score,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
TZA,Tanzania,data-center footprint,data_center_footprint_signal,data_center_footprint_raw,1.25,count,0.1054533451599635,fillna->0; log1p min-max normalized,higher=stronger,0.2,country_data_centre_electricity_weighted_allocation_iea,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2024,0,fillna_to_zero_before_log1p_minmax
