iso3,country_name,evidence_class,component_name,raw_variable_name,raw_value,raw_unit,standardized_score,transform,direction,weight,source_id,source_url,source_year,missing_flag,imputation_rule
CAN,Canada,AI cluster evidence,epoch_power_mw_sum,epoch_power_mw_sum,5.52862464,MW,0.24651999607133998,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CAN,Canada,capacity prior,ai_accelerator_region_count,ai_accelerator_region_count,5.0,count,0.5637914160289369,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CAN,Canada,capacity prior,ai_compute_capacity_score,ai_compute_capacity_score,20.108253920032112,score,0.20184257064837974,fillna->0; linear min-max normalized,higher=stronger,0.35,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CAN,Canada,capacity prior,cloud_region_count,cloud_region_count,7,count,0.47081782673327643,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CAN,Canada,capacity prior,frontier_accelerator_region_count,frontier_accelerator_region_count,2.0,count,0.4162896638657993,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CAN,Canada,cloud GPU regions,cloud_gpu_region_evidence_count,cloud_gpu_region_evidence_count,5.0,count,0.5637914160289369,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CAN,Canada,data-center footprint,osm_strict_data_center_count,osm_strict_data_center_count,85.0,count,0.6082539200321142,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CAN,Canada,direct measured AI load gate,measured_ai_load_available,measured_ai_load_available,False,binary,0.0,boolean identity,higher=stronger,0.0,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,no_imputation_boolean_gate
CAN,Canada,hyperscale MW,accelerator_count_mixed_for_score,accelerator_count_mixed_for_score,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CAN,Canada,hyperscale MW,countable_project_capacity_mw,countable_project_capacity_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.25,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CAN,Canada,hyperscale MW,hyperscale_project_row_count,hyperscale_project_row_count,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CAN,Canada,public load/capacity,load_capacity_proxy_mw,load_capacity_proxy_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CAN,Canada,public load/capacity,public_load_envelope_twh_mid,public_load_envelope_twh_mid,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,AI cluster evidence,epoch_h100_equiv_sum,epoch_h100_equiv_sum,17236.17038933913,H100-equivalent count,0.6948154157788454,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,AI cluster evidence,epoch_power_mw_sum,epoch_power_mw_sum,30.660237760000005,MW,0.4539726272394629,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,capacity prior,ai_accelerator_region_count,ai_accelerator_region_count,4.0,count,0.5064224831767222,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,capacity prior,ai_compute_capacity_score,ai_compute_capacity_score,12.468920818146582,score,0.11932468747421689,fillna->0; linear min-max normalized,higher=stronger,0.35,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,capacity prior,cloud_region_count,cloud_region_count,5,count,0.3731143000216369,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHE,Switzerland,capacity prior,frontier_accelerator_region_count,frontier_accelerator_region_count,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
