diagnostic,excluded_evidence_class,included_classes,spearman_rho,rho_drop_from_full,bootstrap_p05,bootstrap_p50,bootstrap_p95,n_countries,interpretation
full_public_compute_side_plausibility,none,AI cluster evidence|data-center footprint|hyperscale MW|public load/capacity,0.9035646776132527,0.0,0.7911064607153129,0.9023893595727019,0.95922600259418,35,baseline public plausibility score used for Tier-2 host-burden alignment
leave_one_public_evidence_class_out,AI cluster evidence,data-center footprint|hyperscale MW|public load/capacity,0.9287566243973397,-0.025191946784087094,0.84608381889968,0.9243992424215226,0.9642714269220315,35,drop >0 indicates dependence on the excluded evidence class; negative drop indicates rho increases after exclusion
leave_one_public_evidence_class_out,data-center footprint,AI cluster evidence|hyperscale MW|public load/capacity,0.8343341329336533,0.06923054467959933,0.6875061981660583,0.8333754825253443,0.9177415695038285,35,drop >0 indicates dependence on the excluded evidence class; negative drop indicates rho increases after exclusion
leave_one_public_evidence_class_out,hyperscale MW,AI cluster evidence|data-center footprint|public load/capacity,0.8749912480313112,0.028573429581941423,0.7317415730337077,0.8771747287658839,0.9550880038785065,35,drop >0 indicates dependence on the excluded evidence class; negative drop indicates rho increases after exclusion
leave_one_public_evidence_class_out,public load/capacity,AI cluster evidence|data-center footprint|hyperscale MW,0.7584564764030015,0.14510820121025114,0.5326405620832994,0.7602359646191172,0.9045192132470311,35,drop >0 indicates dependence on the excluded evidence class; negative drop indicates rho increases after exclusion
exclude_all_classes_shared_with_host_prior,data-center footprint|public load/capacity,AI cluster evidence|hyperscale MW,0.6842053606834398,0.2193593169298128,0.47381922131732035,0.6831718506126258,0.8312142256261558,35,independent-only public plausibility screen after removing host-prior shared classes
capacity_prior_only_comparator,not_applicable,capacity prior,0.49215686274509807,0.4114078148681546,0.17306602312183653,0.4933895837548462,0.7501442007460541,35,capacity-prior comparator; weaker than public plausibility alignment
