metric,left_out_iso3,left_out_country,spearman_rho
capacity_prior_only_comparator,FIN,Finland,0.4802139037433155
capacity_prior_only_comparator,ZAF,South Africa,0.4918258212375859
capacity_prior_only_comparator,POL,Poland,0.4857142857142857
capacity_prior_only_comparator,CHN,China,0.4771581359816654
capacity_prior_only_comparator,MEX,Mexico,0.4777692895339954
capacity_prior_only_comparator,ISR,Israel,0.5391902215431627
capacity_prior_only_comparator,IDN,Indonesia,0.4906035141329259
capacity_prior_only_comparator,TWN,Taiwan,0.46829640947288
capacity_prior_only_comparator,HKG,Hong Kong,0.5000763941940413
capacity_prior_only_comparator,CHL,Chile,0.44843391902215424
capacity_prior_only_comparator,QAT,Qatar,0.467379679144385
capacity_prior_only_comparator,BHR,Bahrain,0.4563789152024446
