metric,bootstrap_spearman
capacity-prior consistency,0.2525678908118757
capacity-prior consistency,0.6150063228888576
capacity-prior consistency,0.7060640089837169
capacity-prior consistency,0.6542411028274018
capacity-prior consistency,0.3684800897363994
capacity-prior consistency,0.5749158249158249
capacity-prior consistency,0.6825530718402925
capacity-prior consistency,0.4322616874912256
capacity-prior consistency,0.4245574599606632
capacity-prior consistency,0.6456051670878966
capacity-prior consistency,0.7095050618672666
capacity-prior consistency,0.5477160927617709
capacity-prior consistency,0.5564606741573034
capacity-prior consistency,0.5191902150991144
capacity-prior consistency,0.4200701754385965
capacity-prior consistency,0.6490242875193037
capacity-prior consistency,0.5763781736568943
capacity-prior consistency,0.27170711179688595
capacity-prior consistency,0.5681754287320776
capacity-prior consistency,0.6255797610681658
capacity-prior consistency,0.9101376017972481
capacity-prior consistency,0.34568941308621176
capacity-prior consistency,0.21399466067163134
capacity-prior consistency,0.47830985915492946
capacity-prior consistency,-0.26453611150218215
capacity-prior consistency,0.5440123543450793
capacity-prior consistency,0.38679775280898876
capacity-prior consistency,0.4745263157894737
capacity-prior consistency,0.7459292532285232
capacity-prior consistency,0.6705023856300869
capacity-prior consistency,0.30904487269658176
capacity-prior consistency,0.5217513331462249
capacity-prior consistency,0.34673225579761074
capacity-prior consistency,0.6926747123210777
capacity-prior consistency,0.3279864921907979
capacity-prior consistency,0.9134588367518967
capacity-prior consistency,0.4409658851607468
capacity-prior consistency,0.34044943820224716
capacity-prior consistency,0.2595398428731762
capacity-prior consistency,0.4403592478248666
capacity-prior consistency,0.47242879191805814
capacity-prior consistency,0.5288664138221661
capacity-prior consistency,0.526788218793829
capacity-prior consistency,0.40769879179544827
capacity-prior consistency,0.4881303553869926
capacity-prior consistency,0.6516980072972214
capacity-prior consistency,0.2794262410350162
capacity-prior consistency,0.5876983569723354
capacity-prior consistency,0.5619208087615839
capacity-prior consistency,0.6606741573033706
capacity-prior consistency,0.46378439079169
capacity-prior consistency,0.5867397106335159
capacity-prior consistency,0.6927397837382391
capacity-prior consistency,0.558113419427288
